number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
129,0.4450924757014552,2025-12-22 13:05:33.635879,2025-12-22 13:05:40.201565,0 days 00:00:06.565686,0.006837656731730049,0.13578890155362347,18989,random,0.00013842602969119214,0.7575145363807678,0.06440222263336182,1.0840553045272827,0.4450924757014552,COMPLETE
130,0.4276617695716057,2025-12-22 13:05:40.201722,2025-12-22 13:05:56.201398,0 days 00:00:15.999676,0.001792778857196032,0.15750505507570065,18766,random,0.00015194030472502078,0.7860174179077148,0.010247349739074707,1.1149879693984985,0.4276617695716057,COMPLETE
131,0.4431034827715358,2025-12-22 13:05:56.201557,2025-12-22 13:06:01.667909,0 days 00:00:05.466352,0.008158860984106767,0.1275870975143665,18990,random,0.00018168328537968538,0.7573796510696411,0.06379014253616333,1.0844098329544067,0.4431034827715358,COMPLETE
132,0.44455805134433146,2025-12-22 13:06:01.668066,2025-12-22 13:06:09.595092,0 days 00:00:07.927026,0.0054780477747463875,0.13202418593931137,19867,random,0.0001463498416326916,0.7596811056137085,0.060743629932403564,1.0861728191375732,0.44455805134433146,COMPLETE
133,0.4439750389470903,2025-12-22 13:06:09.595267,2025-12-22 13:06:19.044885,0 days 00:00:09.449618,0.004893661182842022,0.17267508098493956,19424,random,0.0001104147019935931,0.7597581744194031,0.05961567163467407,1.0868247747421265,0.4439750389470903,COMPLETE
134,0.43852697725227957,2025-12-22 13:06:19.045043,2025-12-22 13:06:27.932172,0 days 00:00:08.887129,0.003353645530395548,0.12982294378678522,19750,random,0.00023550766634064803,0.7698173522949219,0.04363042116165161,1.0960232019424438,0.43852697725227957,COMPLETE
135,0.43023506961117713,2025-12-22 13:06:27.932331,2025-12-22 13:06:40.642688,0 days 00:00:12.710357,0.0024006890541659353,0.11016181425875829,18037,random,0.00017559917724495588,0.7820929288864136,0.019649088382720947,1.1096796989440918,0.43023506961117713,COMPLETE
136,0.40562665753961835,2025-12-22 13:06:40.642857,2025-12-22 13:07:06.399936,0 days 00:00:25.757079,0.0009895074118409092,0.09303489591030026,18357,random,0.00011359748325378068,0.8194704651832581,-0.07670938968658447,1.162936806678772,0.40562665753961835,COMPLETE
137,0.44189957242791783,2025-12-22 13:07:06.400097,2025-12-22 13:07:14.966280,0 days 00:00:08.566183,0.0061363974101938425,0.19123686760329126,18760,random,8.170734291092822e-05,0.7592839002609253,0.060138165950775146,1.0865228176116943,0.44189957242791783,COMPLETE
138,0.41961725105077874,2025-12-22 13:07:14.966439,2025-12-22 13:07:18.650576,0 days 00:00:03.684137,0.011592026485497581,0.21946847806365452,19973,random,0.00013712049049845572,0.7636324167251587,0.04231464862823486,1.0967768430709839,0.41961725105077874,COMPLETE
