number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_svm_kind,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
123,0.9227272727267728,2025-12-18 14:50:15.651604,2025-12-18 14:50:21.803595,0 days 00:00:06.151991,3.597593513974585,balanced,0.42307316479634094,rbf,,svc,0.9599818860608453,0.9561234329797492,0.5477210269538855,COMPLETE
124,0.9153318077798204,2025-12-18 14:50:21.803814,2025-12-18 14:50:29.141053,0 days 00:00:07.337239,13.105654634143072,balanced,1.5186815750374527,rbf,,svc,0.9415276032270564,0.9430680216601142,0.5185512174204946,COMPLETE
125,0.9170506912437398,2025-12-18 14:50:29.141267,2025-12-18 14:50:34.828070,0 days 00:00:05.686803,17.136666793317737,balanced,0.24280368213410577,rbf,,svc,0.9551655459837944,0.9546954973666643,0.606996843524623,COMPLETE
126,0.9133489461353319,2025-12-18 14:50:34.828282,2025-12-18 14:50:39.623637,0 days 00:00:04.795355,6.515314224655489,,0.1724422382002515,rbf,,svc,0.9549517734857277,0.9584044210370151,0.6661469985840653,COMPLETE
127,0.9241379310339829,2025-12-18 14:50:39.623849,2025-12-18 14:50:46.858766,0 days 00:00:07.234917,4.407614345336068,balanced,0.9951912848174629,rbf,,svc,0.9492794938576535,0.9490579333877308,0.5609682627571442,COMPLETE
128,0.8918918918913918,2025-12-18 14:50:46.858975,2025-12-18 14:50:59.243552,0 days 00:00:12.384577,4.579157356248131,balanced,,,4746.0,linear_calibrated,0.9437893712475344,0.953119204806765,0.47456190884105953,COMPLETE
129,0.9241379310339829,2025-12-18 14:50:59.243782,2025-12-18 14:51:06.503702,0 days 00:00:07.259920,2.6848017497274346,balanced,1.130250829979637,rbf,,svc,0.9485880090122192,0.9484645056004747,0.5497084123053139,COMPLETE
130,0.9115646258498401,2025-12-18 14:51:06.503925,2025-12-18 14:51:13.914790,0 days 00:00:07.410865,1.7661724021841252,balanced,2.243271150439701,rbf,,svc,0.9407524830733494,0.9405644981826274,0.4394291366145021,COMPLETE
131,0.9241379310339829,2025-12-18 14:51:13.915010,2025-12-18 14:51:21.121971,0 days 00:00:07.206961,3.294874962296872,balanced,1.037804596995209,rbf,,svc,0.9492584091145928,0.9488910318225651,0.5573018267799977,COMPLETE
132,0.9220183486233533,2025-12-18 14:51:21.122183,2025-12-18 14:51:28.213282,0 days 00:00:07.091099,2.6289893020988924,balanced,0.9203554875689893,rbf,,svc,0.9516617902882134,0.9504765966916401,0.5671149713904934,COMPLETE
133,0.9195402298845576,2025-12-18 14:51:28.213497,2025-12-18 14:51:35.443590,0 days 00:00:07.230093,3.4216462009580417,balanced,1.190648930919404,rbf,,svc,0.947388770259465,0.9475372746828871,0.5449761058161342,COMPLETE
134,0.9178082191775822,2025-12-18 14:51:35.443810,2025-12-18 14:51:42.968151,0 days 00:00:07.524341,1.431684226108806,balanced,1.9181524108269248,rbf,,svc,0.9455378949819346,0.9442363326162747,0.4773733610409657,COMPLETE
135,0.8826086956516747,2025-12-18 14:51:42.968381,2025-12-18 14:51:50.455981,0 days 00:00:07.487600,2.5022253987233807,balanced,6.281980556713397,rbf,,svc,0.9196654071819537,0.923763073955938,0.4476352925038861,COMPLETE
136,0.9178082191775822,2025-12-18 14:51:50.456261,2025-12-18 14:51:57.201812,0 days 00:00:06.745551,5.231222983387541,balanced,0.761470222380086,rbf,,svc,0.9524052424689575,0.9508196721311475,0.5686728776494885,COMPLETE
137,0.9195402298845576,2025-12-18 14:51:57.202024,2025-12-18 14:52:04.477608,0 days 00:00:07.275584,3.816882949310856,balanced,1.4036514734136873,rbf,,svc,0.9459297744462737,0.9457755359394703,0.5278220066648684,COMPLETE
138,0.8868360277131261,2025-12-18 14:52:04.477827,2025-12-18 14:52:07.600868,0 days 00:00:03.123041,7.223939012481199,balanced,2.847769553939898,poly,,svc,0.9401822567281096,0.943383280172094,0.5699567537481517,COMPLETE
139,0.928735632183408,2025-12-18 14:52:07.601093,2025-12-18 14:52:13.497805,0 days 00:00:05.896712,2.7366265350513372,balanced,0.32316412074369505,rbf,,svc,0.960265666874371,0.9578295378681108,0.5806262083057712,COMPLETE
