task,repr,model,run,trial_index,f1,best_so_far,auc,ap,threshold,kind_hint
halflife,wt,xgb_log,xgb_wt_log,135,0.6997436264256606,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,136,0.6313090419341534,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,137,0.689136265829477,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,138,0.6593672215756713,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,139,0.703849701495151,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,140,0.6330199065464411,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,141,0.7086401224095565,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,142,0.7117196787116743,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,143,0.6929001679765099,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,144,0.5643094195876799,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,145,0.6429429212977097,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,146,0.5474766759320572,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,147,0.7072714307197264,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,148,0.7117196787116743,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,149,0.680239769845581,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,150,0.6778445593883782,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,151,0.7000857993481181,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,152,0.6925579950540525,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,153,0.5583518524511087,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,154,0.6963218972010853,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,155,0.5584958156827274,0.7147992350137922,NA,NA,NA,regression
halflife,wt,xgb_log,xgb_wt_log,156,0.5550702954460957,0.7147992350137922,NA,NA,NA,regression
